# Gun Rack FFL Finder — US ZIP → lat/lng centroid table.
# Source: US Census Bureau Gazetteer ZCTA file (public domain, no attribution/licensing restrictions).
# Format (comma-delimited, header row optional; loader treats any # line as a comment):
#   zip,lat,lng,city,state
# Populate this file with the full ~33-42k Census ZCTA rows before shipping to production;
# the ACP "Load bundled ZIP centroid CSV" action runs a chunked import from THIS path.
# The seed rows below are just enough to prove the loader + join wire correctly against
# gd_ffl.premise_zip until Derrick swaps in the full Census file.
zip,lat,lng,city,state
33101,25.7743,-80.1937,Miami,FL
77002,29.7589,-95.3677,Houston,TX
10001,40.7506,-73.9971,New York,NY
90001,33.9731,-118.2479,Los Angeles,CA
60601,41.8858,-87.6181,Chicago,IL
02108,42.3577,-71.0653,Boston,MA
30303,33.7527,-84.3906,Atlanta,GA
80202,39.7484,-104.9993,Denver,CO
98101,47.6111,-122.3369,Seattle,WA
20001,38.9126,-77.0187,Washington,DC
